Befolkningens højest fuldførte uddannelse (15-69 år) efter
bopælsområde, køn, alder, herkomst, højest fuldførte uddannelse og tid

" ,"" "","" "","" "","" "",""2020"",""2021"",""2022"",""2023"",""2024"""
Hele landet
" ,""Mænd"""
" ,"" "",""20-24 år"""
" ,"" "","" "",""Personer med dansk oprindelse"""
" ,"" "","" "","" "",""H50 Mellemlange videregående uddannelser, MVU"",2660,2991,3923,1375,964"
" ,"" "","" "","" "",""H5020 Pædagogisk, MVU"",12,9,15,12,14"
" ,"" "","" "","" "",""H5024 Medier og kommunikation, MVU"",6,6,8,9,12"
" ,"" "","" "","" "",""H5025 Humanistisk og teologisk, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5030 Kunstnerisk, MVU"",31,31,21,9,9"
" ,"" "","" "","" "",""H5038 Samfundsfaglig, Økonomisk-Merkantil, MVU"",157,181,200,171,116"
" ,"" "","" "","" "",""H5039 Samfundsvidenskab, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5058 Teknisk, MVU"",369,338,295,283,271"
" ,"" "","" "","" "",""H5059 Teknisk videnskab, MVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H5075 Fødevarer, Bio- og laboratorieteknik, MVU"",2,0,1,3,2"
" ,"" "","" "","" "",""H5080 Jordbrug, natur og miljø, MVU"",0,2,1,0,0"
" ,"" "","" "","" "",""H5085 Maritimt, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5089 Sundhedsfaglig, MVU"",3,8,15,7,5"
" ,"" "","" "","" "",""H5095 Politi og forsvar mv., MVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H5097 Videregående uddannelser uden nærmere angivelse, MVU"",2080,2416,3365,881,535"
" ,"" "","" "","" "",""H60 Bacheloruddannelser, BACH"",2258,2256,2315,5205,6181"
" ,"" "","" "","" "",""H6020 Pædagogisk, BACH"",0,0,0,0,0"
" ,"" "","" "","" "",""H6025 Humanistisk og teologisk, BACH"",46,54,30,32,30"
" ,"" "","" "","" "",""H6030 Kunstnerisk, BACH"",35,23,30,34,33"
" ,"" "","" "","" "",""H6035 Naturvidenskab, BACH"",74,85,72,70,71"
" ,"" "","" "","" "",""H6039 Samfundsvidenskab, BACH"",317,343,302,294,297"
