køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Kvinder,Efterkommere,30-34 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Efterkommere,30-34 år,H80 Ph.d. og forskeruddannelser,18.0,24.0,27.0,28.0,31.0,High
Kvinder,Efterkommere,30-34 år,KVU,582.0,648.0,734.0,814.0,932.0,Medium
Kvinder,Efterkommere,30-34 år,LVU,2212.0,2578.0,3040.0,3560.0,4118.0,High
Kvinder,Efterkommere,30-34 år,MVU,2752.0,3256.0,3912.0,4582.0,5162.0,Medium
Kvinder,Efterkommere,30-34 år,H80 Ph.d. og forskeruddannelser,18.0,24.0,27.0,28.0,31.0,High
Kvinder,Efterkommere,35-39 år,BACH,174.0,184.0,190.0,252.0,292.0,High
Kvinder,Efterkommere,35-39 år,H3091 Grundforløb,0.0,0.0,3.0,6.0,8.0,Low
Kvinder,Efterkommere,35-39 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,1.0,2.0,9.0,16.0,7.0,Other
Kvinder,Efterkommere,35-39 år,H35 Adgangsgivende uddannelsesforløb,3.0,3.0,3.0,7.0,8.0,Low
Kvinder,Efterkommere,35-39 år,H3510 Adgangskurser - videregående udd.,2.0,1.0,2.0,6.0,7.0,Low
Kvinder,Efterkommere,35-39 år,H3520 Adgangseksamen - ingeniøruddannelse,1.0,2.0,1.0,1.0,1.0,Low
Kvinder,Efterkommere,35-39 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Efterkommere,35-39 år,H80 Ph.d. og forskeruddannelser,26.0,24.0,21.0,21.0,27.0,High
Kvinder,Efterkommere,35-39 år,KVU,358.0,366.0,414.0,464.0,560.0,Medium
Kvinder,Efterkommere,35-39 år,LVU,972.0,1120.0,1332.0,1598.0,1966.0,High
Kvinder,Efterkommere,35-39 år,MVU,1340.0,1516.0,1870.0,2306.0,2732.0,Medium
Kvinder,Efterkommere,35-39 år,H80 Ph.d. og forskeruddannelser,26.0,24.0,21.0,21.0,27.0,High
Kvinder,Indvandrere,20-24 år,BACH,5880.0,5844.0,6006.0,14278.0,15372.0,High
Kvinder,Indvandrere,20-24 år,H3091 Grundforløb,0.0,0.0,87.0,134.0,128.0,Low
Kvinder,Indvandrere,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,546.0,747.0,899.0,761.0,684.0,Other
Kvinder,Indvandrere,20-24 år,H35 Adgangsgivende uddannelsesforløb,17.0,24.0,19.0,13.0,17.0,Low
Kvinder,Indvandrere,20-24 år,H3510 Adgangskurser - videregående udd.,8.0,11.0,7.0,8.0,11.0,Low
Kvinder,Indvandrere,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,9.0,13.0,12.0,5.0,6.0,Low
Kvinder,Indvandrere,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Indvandrere,20-24 år,H80 Ph.d. og forskeruddannelser,20.0,27.0,60.0,39.0,23.0,High
Kvinder,Indvandrere,20-24 år,KVU,3990.0,4170.0,4136.0,4734.0,5552.0,Medium
Kvinder,Indvandrere,20-24 år,LVU,1338.0,1670.0,2020.0,1952.0,1676.0,High
Kvinder,Indvandrere,20-24 år,MVU,7134.0,7692.0,10440.0,3984.0,2850.0,Medium
Kvinder,Indvandrere,20-24 år,H80 Ph.d. og forskeruddannelser,20.0,27.0,60.0,39.0,23.0,High
Kvinder,Indvandrere,25-29 år,BACH,6394.0,6242.0,6604.0,12968.0,16614.0,High
Kvinder,Indvandrere,25-29 år,H3091 Grundforløb,0.0,0.0,44.0,66.0,78.0,Low
Kvinder,Indvandrere,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,1147.0,1144.0,1199.0,1312.0,1115.0,Other
Kvinder,Indvandrere,25-29 år,H35 Adgangsgivende uddannelsesforløb,66.0,54.0,44.0,55.0,49.0,Low
Kvinder,Indvandrere,25-29 år,H3510 Adgangskurser - videregående udd.,49.0,40.0,33.0,36.0,34.0,Low
Kvinder,Indvandrere,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,17.0,14.0,11.0,19.0,15.0,Low
Kvinder,Indvandrere,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Indvandrere,25-29 år,H80 Ph.d. og forskeruddannelser,271.0,294.0,387.0,341.0,331.0,High
Kvinder,Indvandrere,25-29 år,KVU,4114.0,4110.0,4644.0,4514.0,4708.0,Medium
