område,køn,alder,herkomst,uddannelse,2020,2021,2022,2023,2024
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,2.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,3.0,8.0,15.0,7.0,5.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,2080.0,2416.0,3365.0,881.0,535.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,2258.0,2256.0,2315.0,5205.0,6181.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,46.0,54.0,30.0,32.0,30.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,35.0,23.0,30.0,34.0,33.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,74.0,85.0,72.0,70.0,71.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,317.0,343.0,302.0,294.0,297.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,131.0,156.0,138.0,125.0,137.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,1.0,1.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,0.0,2.0,2.0,1.0,1.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,71.0,57.0,57.0,52.0,39.0
Hele landet,Mænd,20-24 år,Indvandrere,BACH,1583.0,1535.0,1684.0,4597.0,5573.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,594.0,745.0,740.0,702.0,594.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,12.0,10.0,5.0,8.0,5.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,7.0,11.0,10.0,9.0,9.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,50.0,50.0,67.0,79.0,76.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,123.0,96.0,95.0,87.0,103.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,112.0,125.0,132.0,148.0,129.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,2.0,3.0,2.0,1.0,1.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,5.0,9.0,10.0,3.0,9.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,3.0,7.0,9.0,11.0,11.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,LVU,280.0,434.0,409.0,356.0,251.0
Hele landet,Mænd,20-24 år,Indvandrere,H80 Ph.d. og forskeruddannelser,39.0,62.0,33.0,22.0,22.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,Ph.d.,39.0,62.0,33.0,22.0,22.0
Hele landet,Mænd,20-24 år,Efterkommere,H3091 Grundforløb,0.0,0.0,235.0,412.0,410.0
Hele landet,Mænd,20-24 år,Efterkommere,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,3.0,8.0,13.0,5.0,6.0
Hele landet,Mænd,20-24 år,Efterkommere,H35 Adgangsgivende uddannelsesforløb,17.0,9.0,5.0,7.0,11.0
Hele landet,Mænd,20-24 år,Efterkommere,H3510 Adgangskurser - videregående udd.,8.0,4.0,0.0,1.0,5.0
Hele landet,Mænd,20-24 år,Efterkommere,H3520 Adgangseksamen - ingeniøruddannelse,9.0,5.0,5.0,6.0,6.0
Hele landet,Mænd,20-24 år,Efterkommere,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,364.0,436.0,435.0,480.0,548.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,26.0,29.0,28.0,33.0,36.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,250.0,313.0,305.0,340.0,378.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,69.0,67.0,63.0,74.0,104.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,4.0,6.0,3.0,5.0,3.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,1.0,0.0,1.0,1.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,4.0,2.0,3.0,2.0,2.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,9.0,16.0,16.0,14.0,15.0
Hele landet,Mænd,20-24 år,Efterkommere,KVU,1.0,3.0,15.0,11.0,10.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,219.0,282.0,313.0,373.0,413.0
